"RawData"
"Wavelength nm."	"Abs."
240.00	0.587
241.00	0.562
242.00	0.535
243.00	0.508
244.00	0.480
245.00	0.451
246.00	0.423
247.00	0.393
248.00	0.363
249.00	0.333
250.00	0.313
251.00	0.294
252.00	0.268
253.00	0.246
254.00	0.227
255.00	0.211
256.00	0.196
257.00	0.185
258.00	0.176
259.00	0.170
260.00	0.166
261.00	0.165
262.00	0.166
263.00	0.169
264.00	0.175
265.00	0.183
266.00	0.192
267.00	0.202
268.00	0.215
269.00	0.229
270.00	0.246
271.00	0.264
272.00	0.284
273.00	0.304
274.00	0.326
275.00	0.350
276.00	0.372
277.00	0.396
278.00	0.421
279.00	0.447
280.00	0.473
281.00	0.499
282.00	0.524
283.00	0.549
284.00	0.572
285.00	0.593
286.00	0.612
287.00	0.629
288.00	0.643
289.00	0.653
290.00	0.660
291.00	0.664
292.00	0.665
293.00	0.661
294.00	0.653
295.00	0.641
296.00	0.624
297.00	0.603
298.00	0.577
299.00	0.545
300.00	0.510
301.00	0.471
302.00	0.429
303.00	0.385
304.00	0.342
305.00	0.298
306.00	0.256
307.00	0.217
308.00	0.178
309.00	0.144
310.00	0.115
311.00	0.092
312.00	0.071
313.00	0.056
314.00	0.044
315.00	0.034
316.00	0.027
317.00	0.021
318.00	0.017
319.00	0.014
320.00	-0.004
321.00	-0.025
322.00	-0.027
323.00	-0.028
324.00	-0.028
325.00	-0.029
326.00	-0.029
327.00	-0.029
328.00	-0.030
329.00	-0.029
330.00	-0.030
331.00	-0.030
332.00	-0.030
333.00	-0.030
334.00	-0.030
335.00	-0.030
336.00	-0.030
337.00	-0.030
338.00	-0.030
339.00	-0.031
340.00	-0.030
341.00	-0.028
342.00	-0.028
343.00	-0.028
344.00	-0.028
345.00	-0.028
346.00	-0.028
347.00	-0.028
348.00	-0.028
349.00	-0.028
350.00	-0.028
351.00	-0.028
352.00	-0.028
353.00	-0.028
354.00	-0.028
355.00	-0.028
356.00	-0.028
357.00	-0.028
358.00	-0.028
359.00	-0.028
360.00	-0.028
361.00	-0.028
362.00	-0.028
363.00	-0.028
364.00	-0.028
365.00	-0.028
366.00	-0.028
367.00	-0.028
368.00	-0.028
369.00	-0.029
370.00	-0.029
371.00	-0.029
372.00	-0.029
373.00	-0.029
374.00	-0.029
375.00	-0.029
376.00	-0.029
377.00	-0.029
378.00	-0.029
379.00	-0.029
380.00	-0.029
381.00	-0.029
382.00	-0.029
383.00	-0.029
384.00	-0.029
385.00	-0.029
386.00	-0.029
387.00	-0.029
388.00	-0.029
389.00	-0.029
390.00	-0.029
391.00	-0.029
392.00	-0.029
393.00	-0.029
394.00	-0.030
395.00	-0.030
396.00	-0.030
397.00	-0.031
398.00	-0.031
399.00	-0.032
400.00	-0.032
401.00	-0.032
402.00	-0.032
403.00	-0.032
404.00	-0.032
405.00	-0.032
406.00	-0.032
407.00	-0.032
408.00	-0.032
409.00	-0.032
410.00	-0.032
411.00	-0.032
412.00	-0.032
413.00	-0.032
414.00	-0.032
415.00	-0.032
416.00	-0.032
417.00	-0.032
418.00	-0.032
419.00	-0.032
420.00	-0.032
